refmet_name,refmet_id,super_class,main_class,sub_class,diet_source_reported_names,diet_analysis_ids,diet_analysis_feature_ids,exercise_source_reported_names,exercise_analysis_ids,exercise_analysis_feature_ids,mapping_status,mapping_confidence,mapping_evidence,exercise_standard_collision,include_in_conservative_biological_overlap,decision_reason
Eicosatrienoic acid,RM0152308,Fatty Acyls,Fatty acids,Unsaturated FA,Eicosatrienoic acid,AN002536,ST001521|AN002536|ME367953,Eicosatrienoic acid(FFA(20:3n3); Eicosatrienoic acid(FFA(20:3n6); Eicosatrienoic acid(FFA(20:3n9),AN005484,ST003348|AN005484|ME875730; ST003348|AN005484|ME875731; ST003348|AN005484|ME875732,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Eicosenoic acid,RM0150389,Fatty Acyls,Fatty acids,Unsaturated FA,Eicosenoic acid,AN002536,ST001521|AN002536|ME367955,Eicosenoic acid(FFA(20:1),AN005484,ST003348|AN005484|ME875735,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glucuronic acid,RM0155912,Carbohydrates,Monosaccharides,Sugar acids,Glucuronic acid,AN002535,ST001521|AN002535|ME367886,Glucuronic acid,AN005484,ST003348|AN005484|ME875626,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glutamic acid,RM0135893,Organic acids,Amino acids and peptides,Amino acids,Glutamic acid,AN002533; AN002535,ST001521|AN002533|ME367443; ST001521|AN002535|ME367887,L-Glutamic acid,AN005483,ST003348|AN005483|ME875556,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glutamine,RM0012560,Organic acids,Amino acids and peptides,Amino acids,Glutamine,AN002533,ST001521|AN002533|ME367445,L-Glutamine,AN005483,ST003348|AN005483|ME875400,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glycochenodeoxycholic acid,RM0135850,Sterol Lipids,Bile acids,C24 bile acids,Glycochenodeoxycholic acid,AN002536,ST001521|AN002536|ME367971,Chenodeoxycholic acid glycine conjugate,AN005484,ST003348|AN005484|ME875805,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glycocholic acid,RM0135849,Sterol Lipids,Bile acids,C24 bile acids,Glycocholic acid,AN002535; AN002536,ST001521|AN002535|ME367872; ST001521|AN002536|ME367974,Glycocholic acid,AN005484,ST003348|AN005484|ME875810,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glycodeoxycholic acid,RM0125880,Sterol Lipids,Bile acids,C24 bile acids,Glycodeoxycholic acid,AN002536,ST001521|AN002536|ME367972,Deoxycholic acid glycine conjugate,AN005484,ST003348|AN005484|ME875806,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Glycoursodeoxycholic acid,RM0126064,Sterol Lipids,Bile acids,C24 bile acids,Glycoursodeoxycholic acid,AN002536,ST001521|AN002536|ME367973,Glycoursodeoxycholic acid,AN005484,ST003348|AN005484|ME875804,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Hexadecanedioic acid,RM0139429,Fatty Acyls,Fatty acids,Dicarboxylic acids,Hexadecanedioic acid,AN002536,ST001521|AN002536|ME367947,Hexadecanedioic acid(FFA(16:0-DC),AN005484,ST003348|AN005484|ME875711,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Histidine,RM0129894,Organic acids,Amino acids and peptides,Amino acids,Histidine,AN002533,ST001521|AN002533|ME367446,L-Histidine,AN005483,ST003348|AN005483|ME875548,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Hypoxanthine,RM0135895,Nucleic acids,Purines,Hypoxanthines,Hypoxanthine,AN002533; AN002535,ST001521|AN002533|ME367576; ST001521|AN002535|ME367859,Hypoxanthine,AN005483,ST003348|AN005483|ME875555,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Indoleacetic acid,RM0135909,Alkaloids,Tryptophan alkaloids,Indoleacetic acids,Indoleacetic acid,AN002533; AN002536,ST001521|AN002533|ME367579; ST001521|AN002536|ME367926,Indoleacetic acid,AN005483,ST003348|AN005483|ME875316,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Indolelactic acid,RM0044363,Alkaloids,Tryptophan alkaloids,Indolecarboxylic acids,Indolelactic acid,AN002535,ST001521|AN002535|ME367879,Indolelactic acid,AN005483,ST003348|AN005483|ME875380,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Isoleucine,RM0134975,Organic acids,Amino acids and peptides,Amino acids,Isoleucine,AN002533,ST001521|AN002533|ME367451,L-Isoleucine,AN005483,ST003348|AN005483|ME875270,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Kynurenic acid,RM0032431,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids,Kynurenic acid,AN002533,ST001521|AN002533|ME367469,Kynurenic acid,AN005483,ST003348|AN005483|ME875346,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Lactic acid,RM0135904,Organic acids,Short-chain acids,Short-chain acids,Lactic acid,AN002535,ST001521|AN002535|ME367867,Lactic acid,AN005484,ST003348|AN005484|ME875841,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Leucine,RM0136379,Organic acids,Amino acids and peptides,Amino acids,Leucine,AN002533,ST001521|AN002533|ME367450,L-Leucine,AN005483,ST003348|AN005483|ME875271,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Linoleic acid,RM0149976,Fatty Acyls,Fatty acids,Unsaturated FA,Linoleic acid,AN002536,ST001521|AN002536|ME367944,Linoleic acid(FFA(18:2n6),AN005484,ST003348|AN005484|ME875703,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Linoleoyl-EA,RM0140131,Fatty Acyls,Fatty amides,NAE,Linoleoyl-EA,AN002533,ST001521|AN002533|ME367581,Linoleoylethanolamide,AN005483,ST003348|AN005483|ME875442,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
LPC 0:0/16:0,RM0134494,Glycerophospholipids,Glycerophosphocholines,LPC,LPC(0:0/16:0),AN002533,ST001521|AN002533|ME367518,LysoPC(0:0/16:0),AN005483,ST003348|AN005483|ME875495,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
LPC 0:0/18:2,RM0103832,Glycerophospholipids,Glycerophosphocholines,LPC,LPC(0:0/18:2),AN002533,ST001521|AN002533|ME367526,LysoPC(0:0/18:2),AN005483,ST003348|AN005483|ME875507,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Lysine,RM0135903,Organic acids,Amino acids and peptides,Amino acids,Lysine,AN002533,ST001521|AN002533|ME367448,L-Lysine,AN005483,ST003348|AN005483|ME875547,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Malic acid,RM0135894,Organic acids,TCA acids,TCA acids,Malic acid,AN002535,ST001521|AN002535|ME367898,Malic acid,AN005484,ST003348|AN005484|ME875586,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Margaric acid,RM0149933,Fatty Acyls,Fatty acids,Saturated FA,Margaric acid,AN002536,ST001521|AN002536|ME367940,Heptadecanoic acid(FFA(17:0),AN005484,ST003348|AN005484|ME875690,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Methionine,RM0161726,Organic acids,Amino acids and peptides,Amino acids,Methionine,AN002533,ST001521|AN002533|ME367442,L-Methionine,AN005483,ST003348|AN005483|ME875372,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Methionine sulfoxide,RM0050489,Organic acids,Amino acids and peptides,Amino acids,Methionine sulfoxide,AN002533,ST001521|AN002533|ME367490,Methionine sulfoxide,AN005483,ST003348|AN005483|ME875303,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Methylcysteine,RM0012952,Organic acids,Amino acids and peptides,Amino acids,Methylcysteine,AN002535,ST001521|AN002535|ME367861,Methylcysteine,AN005483,ST003348|AN005483|ME875320,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Methylimidazoleacetic acid,RM0138952,Alkaloids,Histidine alkaloids,Imidazole alkaloids,Methylimidazoleacetic acid,AN002533,ST001521|AN002533|ME367613,Methylimidazoleacetic acid,AN005483,ST003348|AN005483|ME875279,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Myristoleic acid,RM0153354,Fatty Acyls,Fatty acids,Unsaturated FA,Myristoleic acid,AN002533; AN002536,ST001521|AN002533|ME367583; ST001521|AN002536|ME367931,Myristoleic acid(FFA(14:1n5),AN005484,ST003348|AN005484|ME875651,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N-6-Trimethyllysine,RM0009124,Organic acids,Amino acids and peptides,Amino acids,N-6-Trimethyllysine,AN002533,ST001521|AN002533|ME367596,"N6,N6,N6-Trimethyl-L-lysine",AN005483,ST003348|AN005483|ME875332,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N-Acetylarginine,RM0132228,Organic acids,Amino acids and peptides,Amino acids,N-Acetylarginine,AN002533,ST001521|AN002533|ME367586,N-a-Acetyl-L-arginine,AN005483,ST003348|AN005483|ME875351,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N-Acetylglycine,RM0135964,Organic acids,Amino acids and peptides,Amino acids,N-Acetylglycine,AN002533,ST001521|AN002533|ME367463,Acetylglycine,AN005484,ST003348|AN005484|ME875575,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N-Acetylputrescine,RM0136156,Alkaloids,Ornithine alkaloids,Polyamines,N-Acetylputrescine,AN002533,ST001521|AN002533|ME367584,N-Acetylputrescine,AN005483,ST003348|AN005483|ME875268,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N-Formylmethionine,RM0136031,Organic acids,Amino acids and peptides,Amino acids,N-Formylmethionine,AN002536,ST001521|AN002536|ME367994,N-Formyl-L-methionine,AN005484,ST003348|AN005484|ME875615,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N1-Acetylspermidine,RM0053025,Alkaloids,Ornithine alkaloids,Polyamines,N1-Acetylspermidine,AN002533,ST001521|AN002533|ME367591,N1-Acetylspermidine+N8-Acetylspermidine,AN005483,ST003348|AN005483|ME875324,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N1-Methyl-2-pyridone-5-carboxamide,RM0030027,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,N1-Methyl-2-pyridone-5-carboxamide,AN002533,ST001521|AN002533|ME367590,N1-Methyl-2-pyridone-5-carboxamide,AN005483,ST003348|AN005483|ME875308,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
"N2,N2-Dimethylguanosine",RM0136278,Nucleic acids,Purines,Purine ribonucleosides,"N2,N2-Dimethylguanosine",AN002533,ST001521|AN002533|ME367593,"N2,N2-Dimethylguanosine",AN005483,ST003348|AN005483|ME875435,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
N6-Acetyllysine,RM0135910,Organic acids,Amino acids and peptides,Amino acids,N6-Acetyllysine,AN002533; AN002535,ST001521|AN002533|ME367595; ST001521|AN002535|ME367854,N6-Acetyl-L-lysine,AN005483,ST003348|AN005483|ME875327,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Niacinamide,RM0156450,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,Niacinamide,AN002533,ST001521|AN002533|ME367474,Niacinamide,AN005483,ST003348|AN005483|ME875262,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Oleic acid,RM0151650,Fatty Acyls,Fatty acids,Unsaturated FA,Oleic acid,AN002536,ST001521|AN002536|ME367945,Oleic acid(FFA(18:1n9),AN005484,ST003348|AN005484|ME875707,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Ornithine,RM0135912,Organic acids,Amino acids and peptides,Amino acids,Ornithine,AN002533,ST001521|AN002533|ME367457,Ornithine,AN005483,ST003348|AN005483|ME875541,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Oxalic acid,RM0149940,Fatty Acyls,Fatty acids,Dicarboxylic acids,Oxalic acid,AN002535,ST001521|AN002535|ME367905,Oxalic acid,AN005484,ST003348|AN005484|ME875840,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Palmitoleic acid,RM0153617,Fatty Acyls,Fatty acids,Unsaturated FA,Palmitoleic acid,AN002536,ST001521|AN002536|ME367936,Palmitoleic acid(FFA(16:1),AN005484,ST003348|AN005484|ME875672,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Palmitoyl-EA,RM0153080,Fatty Acyls,Fatty amides,NAE,Palmitoyl-EA,AN002536,ST001521|AN002536|ME367998,Palmitoylethanolamide,AN005483,ST003348|AN005483|ME875321,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pantothenic acid,RM0136730,Organic acids,Amino acids and peptides,Amino acids,Pantothenic acid,AN002535,ST001521|AN002535|ME367871,Pantothenic acid,AN005483,ST003348|AN005483|ME875542,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pantothenol,RM0155733,Organic acids,Amino acids and peptides,Amino acids,Pantothenol,AN002533,ST001521|AN002533|ME367597,Pantothenol,AN005483,ST003348|AN005483|ME875347,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pentadecylic acid,RM0153573,Fatty Acyls,Fatty acids,Saturated FA,Pentadecylic acid,AN002536,ST001521|AN002536|ME367934,Pentadecanoic acid(FFA(15:0),AN005484,ST003348|AN005484|ME875659,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Phenylalanine,RM0135897,Organic acids,Amino acids and peptides,Amino acids,Phenylalanine,AN002533,ST001521|AN002533|ME367452,L-Phenylalanine,AN005483,ST003348|AN005483|ME875553,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Phenyllactic acid,RM0012471,Organic acids,Phenylpropanoids,Cinnamic acids,Phenyllactic acid,AN002535; AN002536,ST001521|AN002535|ME367862; ST001521|AN002536|ME367999,Phenyllactic acid,AN005484,ST003348|AN005484|ME875604,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Phytosphingosine,RM0135447,Sphingolipids,Sphingoid bases,Phytosphingosines,Phytosphingosine,AN002533,ST001521|AN002533|ME367598,Phytosphingosine,AN005483,ST003348|AN005483|ME875441,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pipecolic acid,RM0135981,Organic acids,Amino acids and peptides,Amino acids,Pipecolic acid,AN002533,ST001521|AN002533|ME367487,Pipecolic acid,AN005483,ST003348|AN005483|ME875557,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pregnenolone sulfate,RM0138917,Sterol Lipids,Steroids,C21 Steroids,Pregnenolone sulfate,AN002536,ST001521|AN002536|ME368001,Pregnenolone sulfate,AN005484,ST003348|AN005484|ME875785,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Proline,RM0135899,Organic acids,Amino acids and peptides,Amino acids,Proline,AN002533,ST001521|AN002533|ME367455,L-Proline,AN005483,ST003348|AN005483|ME875551,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Pyruvic acid,RM0134967,Organic acids,Short-chain acids,Short-chain acids,Pyruvic acid,AN002535,ST001521|AN002535|ME367883,Pyruvic acid,AN005484,ST003348|AN005484|ME875838,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Quinolinic acid,RM0135916,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,Quinolinic acid,AN002535,ST001521|AN002535|ME367907,Quinolinic acid,AN005483,ST003348|AN005483|ME875306,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Ribothymidine,RM0138932,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,Ribothymidine,AN002533; AN002535; AN002536,ST001521|AN002533|ME367602; ST001521|AN002535|ME367848; ST001521|AN002536|ME368002,5-Methyluridine,AN005484,ST003348|AN005484|ME875677,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Serine,RM0032433,Organic acids,Amino acids and peptides,Amino acids,Serine,AN002533,ST001521|AN002533|ME367440,L-Serine,AN005483,ST003348|AN005483|ME875545,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Serotonin,RM0050344,Alkaloids,Tryptophan alkaloids,Tryptamines,Serotonin,AN002533,ST001521|AN002533|ME367460,Serotonin,AN005483,ST003348|AN005483|ME875297,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
sn-Glycero-3-phosphocholine,RM0110472,Organic acids,Organic phosphoric acids,Organic phosphoric acids,sn-Glycero-3-phosphocholine,AN002533,ST001521|AN002533|ME367478,Glycerophosphocholine,AN005483,ST003348|AN005483|ME875390,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Sphinganine,RM0135445,Sphingolipids,Sphingoid bases,Sphinganines,Sphinganine,AN002533,ST001521|AN002533|ME367603,Sphinganine,AN005483,ST003348|AN005483|ME875431,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Sphingosine,RM0135443,Sphingolipids,Sphingoid bases,Sphingosines,Sphingosine,AN002533,ST001521|AN002533|ME367617,Sphingosine,AN005483,ST003348|AN005483|ME875429,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Suberic acid,RM0134985,Fatty Acyls,Fatty acids,Dicarboxylic acids,Suberic acid,AN002535,ST001521|AN002535|ME367893,Suberic acid(FFA(8:0-DC),AN005484,ST003348|AN005484|ME875610,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Succinic acid,RM0134982,Organic acids,TCA acids,TCA acids,Succinic acid,AN002535,ST001521|AN002535|ME367897,Succinic acid,AN005484,ST003348|AN005484|ME875577,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
